country,year,cohd,pua,nua,income
Italy,2022,3.61,6.90,4.10,4
Japan,2022,6.54,7.50,9.30,4
Kuwait,2022,2.89,0.00,0.00,4
Latvia,2022,3.97,12.70,0.20,4
Lithuania,2022,3.72,9.00,0.20,4
Luxembourg,2022,2.99,1.90,0.10,4
Malta,2022,4.44,2.40,0.10,4
Nauru,2022,0.00,0.00,0.00,4
Netherlands (Kingdom of the),2022,2.90,1.10,0.20,4
New Caledonia,2022,0.00,0.00,0.00,4
New Zealand,2022,3.21,0.00,0.00,4
Norway,2022,4.01,1.50,0.10,4
Oman,2022,2.87,0.00,0.00,4
Palau,2022,0.00,0.00,0.00,4
Panama,2022,4.82,43.50,1.90,4
Poland,2022,3.91,6.60,2.60,4
Portugal,2022,3.52,12.00,1.20,4
Puerto Rico,2022,0.00,0.00,0.00,4
Qatar,2022,2.82,0.00,0.00,4
Republic of Korea,2022,6.09,9.00,4.70,4
Romania,2022,3.66,55.90,11.00,4
Russian Federation,2022,2.90,2.00,2.90,4
Saint Kitts and Nevis,2022,4.58,0.00,0.00,4
Saudi Arabia,2022,3.52,0.00,0.00,4
Seychelles,2022,3.88,45.30,0.10,4
Singapore,2022,3.48,0.00,0.00,4
Sint Maarten (Dutch part),2022,5.50,0.00,0.00,4
Slovakia,2022,3.54,17.70,1.00,4
Slovenia,2022,3.44,1.40,0.10,4
Spain,2022,3.35,8.90,4.20,4
Sweden,2022,3.56,3.60,0.40,4
Switzerland,2022,2.85,1.20,0.10,4
Trinidad and Tobago,2022,5.08,39.10,0.60,4
Turks and Caicos Islands,2022,3.55,0.00,0.00,4
United Arab Emirates,2022,3.14,2.30,0.20,4
United Kingdom of Great Britain and Northern Ireland,2022,2.12,2.50,1.70,4
United States of America,2022,2.63,2.50,8.50,4
Uruguay,2022,3.64,36.10,1.20,4
